comments_num,info,movie_id,name,poster_url,quote,ranking,rating
932244,导演: 宫崎骏 Hayao Miyazaki 主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...1988 / 日本 / 动画 奇幻 冒险,1291560,龙猫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,人人心中都有个龙猫，童年就永远不会消失。,21,9.2
680839,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 马龙·白兰度 M...1972 / 美国 / 剧情 犯罪,1291841,教父,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,千万不要记恨你的对手，这样会让你失去理智。,22,9.3
1115095,导演: 加布里尔·穆奇诺 Gabriele Muccino 主演: 威尔·史密斯 Will Smith ...2006 / 美国 / 剧情 传记 家庭,1849031,当幸福来敲门,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,平民励志片。 ,23,9.1
1301039,导演: 罗伯·莱纳 Rob Reiner 主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...2010 / 美国 / 剧情 喜剧 爱情,3319755,怦然心动,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,真正的幸福是来自内心深处。,24,9.1
727545,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano 主...2011 / 法国 / 剧情 喜剧,6786002,触不可及,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,满满温情的高雅喜剧。,25,9.2
296660,导演: 比利·怀尔德 Billy Wilder 主演: 泰隆·鲍华 Tyrone Power / 玛琳·...1957 / 美国 / 剧情 犯罪 悬疑,1296141,控方证人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,比利·怀德满分作品。,26,9.6
751218,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ...2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,1851857,蝙蝠侠：黑暗骑士,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,无尽的黑暗。,27,9.2
584400,导演: 张艺谋 Yimou Zhang 主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang1994 / 中国大陆 中国香港 / 剧情 历史 家庭,1292365,活着,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,张艺谋最好的电影。,28,9.2
1102581,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina 主演: ...2017 / 美国 / 喜剧 动画 奇幻 音乐,20495023,寻梦环游记,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg,死亡不是真的逝去，遗忘才是永恒的消亡。,29,9.1
534629,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci 主演: 尊龙 John Lone / 陈...1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,1293172,末代皇帝,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,30,9.2
501035,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor 主演: 费...1939 / 美国 / 剧情 历史 爱情 战争,1300267,乱世佳人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,Tomorrow is another day.,31,9.3
1144277,导演: 涅提·蒂瓦里 Nitesh Tiwari 主演: 阿米尔·汗 Aamir Khan / 法缇玛...2016 / 印度 / 剧情 传记 运动 家庭,26387939,摔跤吧！爸爸,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,32,9.0
552689,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩...2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险,1291552,指环王3：王者无敌,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,史诗的终章。,33,9.2
